anio_insc;prov_insc;cau_div;dur_mat;edad_hom;p_etnica_hom;niv_insth;area_resh;edad_muj;p_etnica_muj;niv_instm;area_resm
1;Chimborazo;MUTUO ACUERDO;7;29;6;10;1;10;6;1;11
1;Bolívar;ABANDONO;13;32;Afroecuatoriano/Afrodescendiente;4;1;4;1;4;11
1;Carchi;ABANDONO;15;35;6;3;1;3;6;3;11
1;Carchi;MUTUO ACUERDO;25;60;6;3;1;3;6;3;11
1;Carchi;MUTUO ACUERDO;15;36;6;3;1;3;6;3;11
1;Carchi;MUTUO ACUERDO;7;31;6;4;1;4;6;1;11
1;Carchi;MUTUO ACUERDO;15;35;6;3;1;3;6;3;11
1;Guayas;MUTUO ACUERDO;9;28;6;1;1;1;6;3;11
1;Cotopaxi;FALTA DE ARMONIA;15;59;6;10;1;10;6;1;11
1;Cotopaxi;MUTUO ACUERDO;2;30;6;3;1;3;6;1;11
1;Cotopaxi;MUTUO ACUERDO;24;55;6;2;1;2;6;3;11
1;Cotopaxi;MUTUO ACUERDO;2;38;6;3;1;3;6;3;11
1;Carchi;ABANDONO;6;27;6;1;1;1;6;1;11
1;Cotopaxi;MUTUO ACUERDO;6;28;6;1;0;1;6;1;10
1;Cotopaxi;MUTUO ACUERDO;5;24;6;1;0;1;6;1;10
1;Chimborazo;MUTUO ACUERDO;18;40;6;1;1;1;6;1;11
1;Chimborazo;ABANDONO;17;37;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;9;31;6;1;1;1;6;1;10
1;Esmeraldas;FALTA DE ARMONIA;39;59;4;1;1;1;6;0;11
1;Pichincha;ABANDONO;24;54;6;2;1;2;6;1;11
1;Pichincha;ABANDONO;2;38;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;7;52;4;1;1;1;6;1;11
1;Esmeraldas;MUTUO ACUERDO;25;46;6;1;1;1;9;3;11
1;Esmeraldas;MUTUO ACUERDO;15;36;6;1;1;1;9;1;11
1;Esmeraldas;MUTUO ACUERDO;19;44;6;3;1;3;6;3;11
1;Esmeraldas;MUTUO ACUERDO;13;69;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;22;44;6;2;0;2;6;4;10
1;Pichincha;MUTUO ACUERDO;6;27;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;3;24;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;3;32;6;1;1;1;6;10;11
1;Pichincha;ABANDONO;19;44;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;5;26;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;7;38;6;10;1;10;6;3;11
1;Pichincha;MUTUO ACUERDO;27;51;6;10;1;10;6;3;11
1;Pichincha;MUTUO ACUERDO;17;46;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;4;54;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;33;54;6;1;1;1;6;2;11
1;Pichincha;MUTUO ACUERDO;22;41;6;1;1;1;6;2;11
1;Pichincha;MUTUO ACUERDO;7;34;6;10;1;10;6;1;11
1;Pichincha;MUTUO ACUERDO;19;54;6;10;1;10;6;3;11
1;Pichincha;MUTUO ACUERDO;9;33;6;2;1;2;6;4;11
1;Pichincha;MUTUO ACUERDO;8;32;6;2;0;2;6;2;10
1;Pichincha;ABANDONO;31;72;6;10;1;10;6;1;11
1;Pichincha;MUTUO ACUERDO;4;38;6;3;1;3;6;1;11
1;Pichincha;MUTUO ACUERDO;22;49;6;1;0;1;6;1;10
1;Pichincha;MUTUO ACUERDO;10;29;6;1;0;1;6;1;11
1;Pichincha;MUTUO ACUERDO;12;40;6;2;1;2;6;3;11
1;Pichincha;MUTUO ACUERDO;22;60;6;1;1;1;6;10;11
1;Pichincha;ABANDONO;16;72;6;3;1;3;6;3;11
1;Pichincha;ABANDONO;5;30;6;2;1;2;6;2;11
1;Pichincha;MUTUO ACUERDO;7;36;6;1;1;1;6;10;11
1;Pichincha;MUTUO ACUERDO;20;45;6;10;1;10;6;10;11
1;Pichincha;MUTUO ACUERDO;10;35;6;10;1;10;6;3;11
1;Pichincha;MUTUO ACUERDO;12;43;6;10;1;10;6;10;11
1;Pichincha;MUTUO ACUERDO;9;37;6;10;1;10;6;4;10
1;Pichincha;ABANDONO;6;45;6;2;1;2;8;1;11
1;Pichincha;MUTUO ACUERDO;10;46;6;1;1;1;6;1;11
1;Pichincha;MUTUO ACUERDO;23;91;9;0;1;0;6;1;11
1;Pichincha;ABANDONO;5;37;6;10;1;10;9;2;11
1;Pichincha;MUTUO ACUERDO;1;29;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;20;48;6;10;1;10;6;10;11
1;Pichincha;MUTUO ACUERDO;8;34;6;1;1;1;6;10;11
1;Pichincha;MUTUO ACUERDO;34;53;6;2;1;2;6;4;11
1;Pichincha;ABANDONO;2;40;6;10;1;10;7;1;11
1;Pichincha;MUTUO ACUERDO;12;35;6;1;1;1;6;1;11
1;Pichincha;ABANDONO;41;63;6;10;1;10;6;1;11
1;Pichincha;MUTUO ACUERDO;4;30;6;1;1;1;6;2;11
1;Pichincha;MUTUO ACUERDO;18;48;6;1;1;1;6;10;11
1;Pichincha;MUTUO ACUERDO;7;25;6;2;1;2;6;2;11
1;Pichincha; DESCONOCIDO;19;49;6;3;1;3;6;1;11
1;Pichincha;ABANDONO;4;26;6;1;1;1;6;1;11
